Company Name,Geography,Geography Code,Sector,CA100 Company?,Large/Medium Classification,ISINs,SEDOL,Publication Date,Assessment Date,Level,Performance compared to previous year,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company recognise climate change as a relevant risk and/or opportunity for the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets?,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?,Q8L3|Does the company report on Scope 3 emissions?,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change?,Q11L3|Does the company disclose its membership and involvement in trade associations engaged in climate issues?,Q12L3|Does the company have a process to manage climate-related risks?,Q13L3|Does the company disclose Scope 3 use of product emissions?,Q14L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?,Q15L4|Does the company's remuneration for senior executives incorporate climate change performance?,Q16L4|Does the company incorporate climate change risks and opportunities in their strategy?,Q17L4|Does the company undertake climate scenario planning?,Q18L4|Does the company disclose an internal price of carbon?,Q19L4|Does the company ensure consistency between its climate change policy and the positions taken by trade associations of which it is a member?
Glencore (Coal Mining),United Kingdom,GBR,Coal Mining,Yes,large,JE00B4T3BW64,"B4T3BW6, BG6MV64",01/09/2019,07/06/2019,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
Glencore (Diversified Mining),United Kingdom,GBR,Diversified Mining,Yes,large,JE00B4T3BW64,"B4T3BW6, BG6MV64",01/10/2020,25/10/2019,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No
Great Eastern Shipping,India,IND,Shipping,No,small,INE017A01032,B1GKL41,01/12/2020,31/03/2020,1,unchanged,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,Not applicable,No,No,No,No,No,No
Great Eastern Shipping,India,IND,Shipping,No,small,INE017A01032,B1GKL41,01/12/2019,28/03/2019,1,new,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,Not applicable,No,No,No,No,No,No
Groupe PSA,France,FRA,Autos,Yes,large,FR0000121501,7103526,01/10/2020,01/11/2019,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
Groupe PSA,France,FRA,Autos,Yes,large,FR0000121501,7103526,01/09/2019,07/06/2019,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
Grupo Argos,Colombia,COL,Cement,Yes,large,"COT09PA00035, COT09PA00043","B8SGSP6, B8JBYR4",01/02/2021,31/03/2020,3,up,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Not applicable,Yes,No,No,No,No,No
Grupo Mexico,Mexico,MEX,Diversified Mining,Yes,large,MXP370841019,2643674,01/10/2020,16/03/2020,2,new,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Not applicable,No,No,No,No,No,No
Hapag-Lloyd,Germany,DEU,Shipping,No,medium,DE000HLAG475,BYZTSW7,01/12/2020,05/09/2019,1,unchanged,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,Not applicable,No,No,No,No,No,No
Hapag-Lloyd,Germany,DEU,Shipping,No,medium,DE000HLAG475,BYZTSW7,01/12/2019,09/04/2019,1,new,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Not applicable,No,No,No,No,No,No
Hawaiian Electric,United States of America,USA,Electricity Utilities,No,small,US4198701009,2415204,01/10/2020,23/07/2019,2,new,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Not applicable,Yes,No,No,No,No,No
HeidelbergCement,Germany,DEU,Cement,Yes,large,DE0006047004,"5120679, ZB0JM25",01/10/2020,27/03/2020,3,unchanged,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,Yes,No
HeidelbergCement,Germany,DEU,Cement,Yes,large,DE0006047004,"5120679, ZB0JM25",01/09/2019,26/06/2018,3,down,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,Yes,No
Hess,United States of America,USA,Oil & Gas,No,medium,US42809H1077,2023748,01/10/2020,18/09/2019,4STAR,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hess,United States of America,USA,Oil & Gas,No,medium,US42809H1077,2023748,01/09/2019,21/02/2019,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
Hitachi,Japan,JPN,Other Industrials,Yes,large,JP3788600009,6429104,01/10/2020,29/03/2020,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,No,Yes,Yes,Yes,No
Hitachi,Japan,JPN,Other Industrials,Yes,large,JP3788600009,6429104,01/09/2019,30/06/2018,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,No,Yes,Yes,No,No
Hitachi Metals,Japan,JPN,Steel,No,medium,JP3786200000,6429201,01/02/2021,20/03/2020,1,new,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
Hokuetsu,Japan,JPN,Paper,No,small,JP3841800000,6433105,01/02/2021,07/02/2020,1,unchanged,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Not applicable,No,No,No,No,No,No
Hokuetsu,Japan,JPN,Paper,No,small,JP3841800000,6433105,01/02/2020,14/04/2019,1,unchanged,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,Not applicable,No,No,No,No,No,No
HollyFrontier,United States of America,USA,Oil & Gas,No,medium,US4361061082,B5VX1H6,01/10/2020,25/02/2020,2,new,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Hon Hai Precision Industry,Taiwan,TWN,Other Industrials,Yes,large,TW0002317005,6438564,01/10/2020,17/02/2020,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Not applicable,No,No,No,No,No,No
Hon Hai Precision Industry,Taiwan,TWN,Other Industrials,Yes,large,TW0002317005,6438564,01/09/2019,14/02/2019,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Not applicable,Yes,No,No,No,No,No
Honda,Japan,JPN,Autos,Yes,large,JP3854600008,6435145,01/10/2020,17/03/2020,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No
Honda,Japan,JPN,Autos,Yes,large,JP3854600008,6435145,01/09/2019,20/06/2018,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
Hydro One,Canada,CAN,Electricity Utilities,No,medium,CA4488112083,BYYXJY9,01/10/2020,31/03/2020,3,new,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Not applicable,No,Yes,No,No,No,No
Hyundai,South Korea,KOR,Autos,No,large,"KR7005380001, KR7005382007, KR7005381009","6451055, 6148272, 6451022",01/12/2020,18/10/2019,3,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No
Hyundai,South Korea,KOR,Autos,No,large,"KR7005380001, KR7005382007, KR7005381009","6451055, 6148272, 6451022",01/12/2019,23/04/2019,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
Hyundai Steel,South Korea,KOR,Steel,No,large,KR7004020004,6461850,01/02/2021,14/11/2019,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not applicable,Yes,Yes,Yes,No,Yes,No
Hyundai Steel,South Korea,KOR,Steel,No,large,KR7004020004,6461850,01/02/2020,23/04/2019,3,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not applicable,Yes,Yes,No,No,Yes,No
IAG,United Kingdom,GBR,Airlines,No,large,ES0177542018,"B5M6XQ7, B5282K0",01/12/2020,27/01/2020,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,Yes,Yes,No,Yes,Yes,No
IAG,United Kingdom,GBR,Airlines,No,large,ES0177542018,"B5M6XQ7, B5282K0",01/12/2019,02/04/2019,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,Yes,No,Yes,Yes,Yes,No
INPEX,Japan,JPN,Oil & Gas,No,large,JP3294460005,B10RB15,01/10/2020,12/03/2020,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
Iberdrola,Spain,ESP,Electricity Utilities,Yes,large,ES0144580Y14,B288C92,01/10/2020,31/03/2020,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,No
Iberdrola,Spain,ESP,Electricity Utilities,Yes,large,ES0144580Y14,B288C92,01/09/2019,23/02/2019,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,No
Idacorp,United States of America,USA,Electricity Utilities,No,small,US4511071064,2296937,01/10/2020,30/09/2019,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Not applicable,No,No,No,No,No,No
Iino Kaiun Kaisha,Japan,JPN,Shipping,No,small,JP3131200002,6457008,01/12/2020,20/03/2020,1,new,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
Imperial Oil,Canada,CAN,Oil & Gas,Yes,large,CA4530384086,2454241,01/10/2020,25/03/2020,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No
Imperial Oil,Canada,CAN,Oil & Gas,Yes,large,CA4530384086,2454241,01/09/2019,27/02/2019,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No
Indah Kiat Pulp & Paper,Indonesia,IDN,Paper,No,medium,ID1000062201,6462422,01/02/2021,11/12/2019,1,new,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
IndiGo,India,IND,Airlines,No,large,INE646L01027,BYYZ7D0,01/12/2020,30/12/2019,2,unchanged,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
IndiGo,India,IND,Airlines,No,large,INE646L01027,BYYZ7D0,01/12/2019,23/04/2019,2,unchanged,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
Indocement Tunggal Prakarsa,Indonesia,IDN,Cement,No,medium,ID1000061302,6454861,01/02/2021,30/12/2019,1,new,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,Not applicable,Yes,No,No,No,No,No
Inner Mongolia Yitai Coal,China,CHN,Coal Mining,No,medium,"CNE000000SK7, CNE100001FW6","6019011, B4PPPY6",01/10/2020,19/11/2019,1,unchanged,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Inner Mongolia Yitai Coal,China,CHN,Coal Mining,No,medium,"CNE000000SK7, CNE100001FW6","6019011, B4PPPY6",01/09/2019,30/01/2019,1,unchanged,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Innogy,Germany,DEU,Electricity Utilities,No,large,DE000A2AADD2,BDCFZS6,01/09/2019,30/10/2018,2,new,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,Not applicable,No,No,Yes,No,No,No
International Paper,United States of America,USA,Paper,Yes,medium,US4601461035,2465254,01/10/2020,21/01/2020,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Not applicable,Yes,No,No,No,No,No
International Paper,United States of America,USA,Paper,Yes,medium,US4601461035,2465254,01/09/2019,31/10/2018,3,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Not applicable,Yes,No,No,No,No,No
Intl Flavours & Fragrances,United States of America,USA,Chemicals,No,medium,US4595061015,2464165,01/02/2021,30/03/2020,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,No,Yes,Yes,No
Intl Flavours & Fragrances,United States of America,USA,Chemicals,No,medium,US4595061015,2464165,01/02/2020,23/04/2019,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,No,No,Yes,No
JFE,Japan,JPN,Steel,No,large,JP3386030005,6543792,01/02/2021,24/02/2020,2,down,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Not applicable,No,No,No,Yes,No,No
JFE,Japan,JPN,Steel,No,large,JP3386030005,6543792,01/02/2020,23/04/2019,3,up,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Not applicable,Yes,No,No,No,No,No
JSW Steel,India,IND,Steel,No,large,INE019A01038,BZBYJJ7,01/02/2021,31/03/2020,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,No,No,No
JSW Steel,India,IND,Steel,No,large,INE019A01038,BZBYJJ7,01/02/2020,19/04/2019,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,No,No,No
Japan Airlines,Japan,JPN,Airlines,No,large,JP3705200008,B8BRV46,01/12/2020,28/02/2020,3,unchanged,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Not applicable,Yes,No,No,No,Yes,No
Japan Airlines,Japan,JPN,Airlines,No,large,JP3705200008,B8BRV46,01/12/2019,08/11/2018,3,unchanged,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Not applicable,Yes,No,No,No,Yes,No
Jardine Matheson,Hong Kong,HKG,Coal Mining,No,large,BMG507361001,6472119,01/10/2020,23/07/2019,0,new,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Jastrzebska Spolka Weglowa,Poland,POL,Coal Mining,No,small,PLJSW0000015,B6R2S06,01/10/2020,31/03/2020,2,up,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Jastrzebska Spolka Weglowa,Poland,POL,Coal Mining,No,small,PLJSW0000015,B6R2S06,01/09/2019,03/06/2019,1,unchanged,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Jetblue,United States of America,USA,Airlines,No,small,US4771431016,2852760,01/12/2020,26/08/2019,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,No,No,No,Yes,No
Jetblue,United States of America,USA,Airlines,No,small,US4771431016,2852760,01/12/2019,25/12/2018,3,unchanged,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,No,No,Yes,Yes,No
Jindal Steel & Power,India,IND,Steel,No,medium,INE749A01030,6726816,01/02/2021,29/11/2019,1,new,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,Not applicable,No,No,No,No,No,No
K Line,Japan,JPN,Shipping,No,medium,JP3223800008,6484686,01/12/2020,25/03/2020,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,No
K Line,Japan,JPN,Shipping,No,medium,JP3223800008,6484686,01/12/2019,06/01/2019,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,No
KEPCO,South Korea,KOR,Electricity Utilities,Yes,large,KR7015760002,6495730,01/10/2020,24/03/2020,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,Yes,Yes,Yes,Yes,No,No
KEPCO,South Korea,KOR,Electricity Utilities,Yes,large,KR7015760002,6495730,01/09/2019,25/03/2019,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,Yes,Yes,Yes,Yes,No,No
Kansai Elec Power,Japan,JPN,Electricity Utilities,No,large,JP3228600007,6483489,01/10/2020,31/03/2020,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Not applicable,Yes,No,Yes,Yes,Yes,Yes
Kansai Elec Power,Japan,JPN,Electricity Utilities,No,large,JP3228600007,6483489,01/09/2019,28/06/2018,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,Yes
Kia,South Korea,KOR,Autos,No,large,KR7000270009,6490928,01/12/2020,24/03/2020,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No
Kia,South Korea,KOR,Autos,No,large,KR7000270009,6490928,01/12/2019,23/04/2019,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No
Kinder Morgan,United States of America,USA,Oil & Gas Distribution,Yes,large,US49456B1017,B3NQ4P8,01/10/2020,25/02/2020,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No
Kinder Morgan,United States of America,USA,Oil & Gas Distribution,Yes,large,US49456B1017,B3NQ4P8,01/09/2019,08/02/2019,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No
Klabin,Brazil,BRA,Paper,No,medium,"BRKLBNACNPR9, BRKLBNCDAM18","2813347, BJ0K6Z9",01/02/2021,04/02/2020,4STAR,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,Yes
Kobe Steel,Japan,JPN,Steel,No,medium,JP3289800009,6496023,01/02/2021,19/09/2019,2,up,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Not applicable,No,No,No,No,No,No
Kobe Steel,Japan,JPN,Steel,No,medium,JP3289800009,6496023,01/02/2020,26/10/2018,1,unchanged,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
Korean Air,South Korea,KOR,Airlines,No,medium,KR7003490000,6496766,01/12/2020,25/10/2019,1,down,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,Not applicable,No,No,No,No,No,No
Korean Air,South Korea,KOR,Airlines,No,medium,KR7003490000,6496766,01/12/2019,06/01/2019,3,up,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Not applicable,No,No,No,No,No,No
Kyushu Elec Power,Japan,JPN,Electricity Utilities,No,medium,JP3246400000,6499806,01/10/2020,31/03/2020,1,unchanged,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Not applicable,Yes,No,No,No,No,No
Kyushu Elec Power,Japan,JPN,Electricity Utilities,No,medium,JP3246400000,6499806,01/09/2019,12/04/2019,1,new,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Not applicable,Yes,No,No,No,No,No
LATAM,Chile,CHL,Airlines,No,large,"CL0000000423, US51817R1068","2518932, B84FQ53",01/12/2020,15/11/2019,3,unchanged,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Not applicable,Yes,No,No,No,No,No
LATAM,Chile,CHL,Airlines,No,large,"CL0000000423, US51817R1068","2518932, B84FQ53",01/12/2019,27/02/2019,3,unchanged,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Not applicable,No,No,No,No,No,No
LG Chemical,South Korea,KOR,Chemicals,No,large,"KR7051910008, KR7051911006","6346913, 6346924",01/02/2021,24/03/2020,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,No
LG Chemical,South Korea,KOR,Chemicals,No,large,"KR7051910008, KR7051911006","6346913, 6346924",01/02/2020,23/04/2019,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,Yes,Yes,No,Yes,Yes,No
LafargeHolcim,Switzerland,CHE,Cement,Yes,large,CH0012214059,7110753,01/10/2020,31/03/2020,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,No,Yes,No
LafargeHolcim,Switzerland,CHE,Cement,Yes,large,CH0012214059,7110753,01/09/2019,04/02/2019,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,No
Lee & Man Paper Manufacturing,China,CHN,Paper,No,medium,KYG5427W1309,6693772,01/02/2021,14/11/2019,1,unchanged,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
Lee & Man Paper Manufacturing,China,CHN,Paper,No,medium,KYG5427W1309,6693772,01/02/2020,07/02/2019,1,up,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
Linde,United States of America,USA,Chemicals,No,large,IE00BZ12WP82,BZ12WP8,01/02/2021,31/03/2020,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,No
Linde,United States of America,USA,Chemicals,No,large,IE00BZ12WP82,BZ12WP8,01/02/2020,31/03/2019,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not applicable,Yes,No,Yes,Yes,Yes,No
Lockheed Martin,United States of America,USA,Other Industrials,Yes,large,US5398301094,2522096,01/10/2020,24/03/2020,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,No,No
Lockheed Martin,United States of America,USA,Other Industrials,Yes,large,US5398301094,2522096,01/09/2019,08/02/2019,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,No,No
Lufthansa,Germany,DEU,Airlines,No,medium,DE0008232125,5287488,01/12/2020,22/03/2020,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,Yes,Yes,Yes,No,Yes,No
Lufthansa,Germany,DEU,Airlines,No,medium,DE0008232125,5287488,01/12/2019,18/02/2019,3,down,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,No,No,No,No
Lukoil,Russia,RUS,Oil & Gas,Yes,large,"RU0009024277, US69343P1057","B59SNS8, BYZDW27",01/10/2020,20/09/2019,2,unchanged,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No
Lukoil,Russia,RUS,Oil & Gas,Yes,large,"RU0009024277, US69343P1057","B59SNS8, BYZDW27",01/09/2019,30/03/2019,2,down,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No
LyondellBasell Industries,United States of America,USA,Chemicals,Yes,large,NL0009434992,B3SPXZ3,01/10/2020,31/03/2020,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Not applicable,Yes,Yes,No,No,No,No
LyondellBasell Industries,United States of America,USA,Chemicals,Yes,large,NL0009434992,B3SPXZ3,01/09/2019,21/02/2019,3,up,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Not applicable,No,Yes,No,No,Yes,No
MISC,Malaysia,MYS,Shipping,No,large,MYL3816OO005,6557997,01/12/2020,28/10/2019,1,unchanged,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Not applicable,No,No,No,No,No,No
MISC,Malaysia,MYS,Shipping,No,large,MYL3816OO005,6557997,01/12/2019,02/10/2018,1,new,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Not applicable,No,No,No,No,No,No
MOL,Japan,JPN,Shipping,No,medium,JP3362700001,6597584,01/12/2020,31/03/2020,3,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,Yes,No,Yes,No,No,No
MOL,Japan,JPN,Shipping,No,medium,JP3362700001,6597584,01/12/2019,28/02/2019,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,No,Yes,No,No,No
Magnitogorsk Iron & Steel Works,Russia,RUS,Steel,No,large,"RU0009084396, US5591892048","B5B1RP0, B1VX446",01/02/2021,05/02/2020,0,new,No,No,No,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No
Marathon Oil,United States of America,USA,Oil & Gas,No,medium,US5658491064,2910970,01/10/2020,11/09/2019,2,unchanged,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
Marathon Oil,United States of America,USA,Oil & Gas,No,medium,US5658491064,2910970,01/09/2019,28/03/2019,2,unchanged,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Marathon Petroleum,United States of America,USA,Oil & Gas,Yes,large,US56585A1025,B3K3L40,01/10/2020,17/01/2020,2,unchanged,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
Marathon Petroleum,United States of America,USA,Oil & Gas,Yes,large,US56585A1025,B3K3L40,01/09/2019,28/02/2019,2,unchanged,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
Martin Marietta Materials,United States of America,USA,Cement,Yes,medium,US5732841060,2572079,01/10/2020,18/01/2020,2,unchanged,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Not applicable,No,No,No,No,No,No
